Title;Medium;Date;Collection;Dimensions;Image;Description;artists_id;id
Squam Light;Oil on canvas;1912;private collection;"60.96 cm × 73.66 cm
(24 in. x 29 in.)";https://uploads5.wikiart.org/images/edward-hopper/squam-light.jpg!Large.jpg;;2726;22
Queensborough Bridge;Oil on canvas;1913;Whitney Museum of American Art;65.7 cm × 96.8 cm (25 7/8 in. × 38 1/8 in.);https://whitneymedia.org/assets/artwork/5902/136287.jpeg;;2726;23
Soir bleu;Oil on canvas;1914;Whitney Museum of American Art;"91.8 cm × 182.7 cm
(36 1/8 in. × 71 15/16 in.)";https://whitneymedia.org/assets/artwork/6081/142504.jpeg;;2726;24
Road in Maine;Oil on canvas;1914;Whitney Museum of American Art;"61.6 cm × 74.3 cm
(24 1/4 in. × 29 1/4 in.)";https://whitneymedia.org/assets/artwork/6078/131602.jpeg;;2726;25
Blackhead, Monhegan;Oil on canvas;1916–1919;Whitney Museum of American Art;"23.8 cm × 32.9 cm
(9 3/8 in. × 12 15/16 in.)";https://whitneymedia.org/assets/artwork/6117/131934.jpeg;;2726;26
Night on the El Train;Etching;1918;Private Collection;"18.7 cm x 19.9 cm
(7 3/8 in. x 7 13/16 in.)";https://www.metmuseum.org/art/collection/search/366215;A couple huddles by an open window in the corner of a train carriage. Despite the movement of the train, indicated by the billowing shades and swaying straps, Hopper created a still and enigmatic moment within a normally noisy environment. He employed his characteristic angled viewpoint, which is emphasized here by the row of empty seats behind the couple.;2726;27
The El Station;Etching;1919–1923;Whitney Museum of American Art;"17.5 cm x 22.4 cm
(6 7/8 in. x 8 13/16 in.)";https://whitneymedia.org/assets/artwork/7022/91193.jpeg;;2726;28
American Landscape;Etching;1920;Philadelphia Museum of Art;"18.4 cm × 31.8 cm
(7 1/4 in. × 12 1/2 in.)";https://www.metmuseum.org/art/collection/search/366208;;2726;29
House Tops;Etching;1921;Philadelphia Museum of Art;"14.8 cm x 19.9 cm
(5 13/16 in. x 7 13/16 in.)";https://www.metmuseum.org/art/collection/search/366214;In this New York scene, a woman gazes across the city from an elevated train as a fellow passenger with packages seems lost in thought. Hopper had returned to New York from Paris in 1910 and took up etching when his paintings failed to find buyers, producing about 70 prints between 1915 and 1923. In addition to showing men and women experiencing the urban fabric, he evoked memories of France, and explored rural and coastal landscapes in Maine and Massachusetts. After Hopper received two awards for his prints in 1923—the Logan Prize from the Chicago Society of Etchers and the W. A. Bryan Prize—he refocused his energies on painting, but often returned to subjects he had used etching to shape.;2726;30
Night Shadows;Etching;1921;Whitney Museum of American Art & Metropolitan Museum of Art;"17.4 cm × 20.8 cm
(6 7/8 in. × 8 3/16 in.)";https://whitneymedia.org/assets/artwork/7014/98826.jpeg;;2726;31
Girl at Sewing Machine;Oil on canvas;1921;Thyssen-Bornemisza Museum;"48.3 cm × 46 cm
(19 in. × 18 in.)";https://en.wikipedia.org/wiki/File:Girl_at_Sewing_Machine_by_Edward_Hopper_1921.jpg;;2726;32
Evening Wind;Etching;1921;Whitney Museum of American Art & Metropolitan Museum of Art;"17.6 cm × 21 cm
(6 15/16 in. × 8 1/4 in.)";http://www.metmuseum.org/toah/works-of-art/25.31.7;;2726;33
New York Interior;Oil on canvas;c. 1921;Whitney Museum of American Art;"61.8 cm × 74.6 cm
(24 5/16 in. × 29 3/8 in.)";https://en.wikipedia.org/wiki/File:Edward_Hopper,_New_York_Interior,_c._1921_1_15_18_-whitneymuseum_(40015892594).jpg;;2726;34
East Side Interior;Etching;1922;Whitney Museum of American Art;"20 cm × 24.9 cm
(7 7/8 in. × 9 13/16 in.)";https://en.wikipedia.org/wiki/File:East_Side_Interior_1922_Edward_Hopper.jpg;In a New York interior, a woman looks up from her sewing machine to gaze out an open window, the heat suggested by the loosened neck of her dress. Hopper had returned to New York from Paris in 1910 and took up etching when his paintings failed to find buyers, producing about 70 prints between 1915 and 1923. In addition to men and women experiencing the distinct fabric of his new home town, the artist evoked memories of France and explored rural and coastal landscapes in Maine and Massachusetts. After Hopper received two awards for his prints in 1923—the Logan Prize from the Chicago Society of Etchers and the W. A. Bryan Prize—he refocused his energies on painting, but often returned to subjects he had used etching to shape.;2726;35
The Cat Boat;Etching;1922;Addison Gallery of American Art;"19.69 cm × 24.77 cm
(7 3/4 in. × 9 3/4 in.)";http://accessaddison.andover.edu/Obj14684?sid=148034&x=2210753&port=1000;;2726;36
New York Restaurant;Oil on canvas;1922;Muskegon Museum of Art, Michigan;61 cm x 76.2 cm;https://en.wikipedia.org/wiki/File:New_york_restaurant_by_edward_hopper.jpg;;2726;37
The Cat Boat;Etching on paper;1922;Smithsonian American Art Museum;"20 cm × 24.9 cm
(7 7/8 in. × 9 3/4 in.)";https://en.wikipedia.org/wiki/File:Edward_Hopper,_The_Cat_Boat,_1922,_NGA_36513.jpg;;2726;38
Railroad Crossing;Oil on canvas;1922–1923;Whitney Museum of American Art;"74.8 cm × 101.8 cm
(29 7/16 in. × 4 1/16 in.)";https://whitneymedia.org/assets/artwork/5860/70_1189_cropped.jpeg;;2726;39
Apartment Houses;Oil on canvas;1923;Pennsylvania Academy of the Fine Arts[1];24 in. × 28 15/16 in.;https://en.wikipedia.org/wiki/File:Apartment_Houses_by_Edward_Hopper.png;;2726;40
"Drawing for ""Aux Fortifications""";"Charcoal, chalk, graphite
on bristol board";1923;Pennsylvania Academy of the Fine Arts;13 13/16 in. × 18 7/16 in.;https://www.pafa.org/museum/collection/item/drawing-aux-fortifications;;2726;41
The Mansard Roof;Watercolor on paper;1923;Brooklyn Museum;13 3/4 in. × 19 inches;http://www.artchive.com/artchive/H/hopper/mansard.jpg.html;;2726;42
The Locomotive;Etching;1923;Whitney Museum of American Art;;https://whitneymedia.org/assets/artwork/7009/70_1039_cropped.jpeg;;2726;43
The Lonely House;Etching;1923;Metropolitan Museum of Art;"29.7 cm x 35.4 cm
(11 11/16 in. x 13 15/16 in.)";https://www.metmuseum.org/art/collection/search/366216;;2726;44
Moonlight Interior;Oil on canvas;1923;;;https://www.wikiart.org/en/edward-hopper/moonlight-interior;;2726;45
House in Italian Quarter;Watercolor on paper;1923;Smithsonian American Art Museum;"50.5 cm × 60.6 cm
(19 7/8 in. × 23 7/8 in.)";https://americanart.si.edu/artwork/house-italian-quarter-73943;;2726;46
Haskell's House;Watercolor over graphite on paperboard;1924;National Gallery of Art;34.3 x 49.5 cm (13 1/2 x 19 1/2 in;;;2726;47
New York Pavements;Oil on canvas;1924-1925;Chrysler Museum of Art;62.9 × 75.6 cm (24 3/4 × 29 3/4 in.);https://chrysler.emuseum.com/objects/24186/new-york-pavements;;2726;48
House by the Railroad;Oil on canvas;1925;Museum of Modern Art;;https://en.wikipedia.org/wiki/File:The_House_by_the_Railroad_by_Edward_Hopper_1925.jpg;;2726;49
Self-Portrait;Oil on canvas;1925–1930;Whitney Museum of American Art;"64.5 cm × 51.8 cm
(25 3/8 in. × 20 3/8 in.)";https://whitneymedia.org/assets/artwork/6068/70_1165_cropped.jpeg;;2726;50
Ranch House, Santa Fe;Watercolor;1925;Williams College Museum of Art;;http://cfs2.tistory.com/upload_control/download.blog?fhandle=YmxvZzg3MTA5QGZzMi50aXN0b3J5LmNvbTovYXR0YWNoLzMvMzM4LmpwZw%3D%3D;;2726;51
Day after the Funeral;Watercolor on paper;1925;Private collection;;;;2726;52
Sunday;Oil on canvas;1926;"The Phillips Collection
Washington, D.C.";;http://www.ibiblio.org/wm/paint/auth/hopper/street/hopper.sunday.jpg;;2726;53
Universalist Church;"Watercolor over graphite
on cream wove paper";1926;Princeton University Art Museum;"35.6 cm × 50.8 cm
(14 in. × 20 in.)";https://en.wikipedia.org/wiki/File:Universalist_Church_(Edward_Hopper,_1926).jpg;;2726;54
Drug Store;Oil on canvas;1927;Museum of Fine Arts, Boston;;http://www.ibiblio.org/wm/paint/auth/hopper/street/hopper.drug-store.jpg;;2726;55
Lighthouse Hill;;1927;Dallas Museum of Art;;http://www.abstract-art.com/abstraction/l2_Grnfthrs_fldr/g0000_gr_inf_images/g031c_hopper_lighthousehill.jpg;;2726;56
Captain Upton's House;Oil on canvas;1927;collection of Steve Martin;"71.8 cm x 92.1 cm
(28 1/4 in. x 36 1/4 in.)";https://archive.artic.edu/hopper/artwork/193526;;2726;57
Coast Guard Station;"Watercolor, graphite pencil
on paper";1927;Whitney Museum of America Art;"35.4 cm × 50.6  cm
(13 15/16 in. × 19 15/16 in.)";https://whitneymedia.org/assets/artwork/6836/70_1093_cropped.jpeg;;2726;58
Coast Guard Station, Two Lights, Maine;"Watercolor, gouache,
charcoal on paper";1927;Metropolitan Museum of Art;"35.2 cm × 50.5 cm
(13 7/8 in. × 19 7/8 in.)";https://en.wikipedia.org/wiki/File:Coast-Guard-Station-Two-Lights-Maine-Edward-Hopper-1927.jpg;"On his repeated summer visits to Cape Elizabeth, Maine, Hopper painted several views of the Two Lights lighthouses and a Coast Guard station that stood in an adjacent cove (see MMA 62.95). In Hopper's ledger, this location, with its white sand and vivid blue water, is described as having a ""very clean & swept look"" (Artist's ledger, Whitney Museum of American Art). His composition of the Coast Guard station and its landscape is similarly and appropriately clean. The water and the rocks in the foreground are painted in loose, limpid washes of color, and the repeated angles of the station's various gables, punctuated by the slender vertical of the flagpole that rises from its roof, are more tightly delineated. This is a sunny, tranquil landscape whose subject nonetheless alludes to the darker possibilities of dangerous rescues from the ocean. Hopper had worked very little in watercolor before 1923. However, he soon demonstrated a mastery of the medium after his wife Jo, who was also an artist, encouraged him to utilize it for his outdoor studies.";2726;59
Light at Two Lights;"Watercolor, graphite pencil
on paper";1927;Whitney Museum of American Art;"35.4 cm × 50.8 cm
(13 15/16 in. × 20 in.)";https://whitneymedia.org/assets/artwork/5785/70_1094_cropped.jpeg;;2726;60
Automat;Oil on canvas;1927;Des Moines Art Center;"71.4 cm × 91.4 cm
(28 in. × 36 in.)";https://en.wikipedia.org/wiki/File:Automat-edward-hopper-1927.jpg;;2726;61
Two on the Aisle;Oil on canvas;1927;Toledo Museum of Art;102.2 cm × 122.6 cm;http://www.wikipaintings.org/en/edward-hopper/two-on-the-aisle;;2726;62
The City;Oil on canvas;1927;University of Arizona Museum of Art;;http://www.tucsonweekly.com/binary/44117-273-1/review-5629.gif;;2726;63
Night Windows;Oil on canvas;1928;Museum of Modern Art;;https://web.archive.org/web/20110721003137/http://chatlibre.blog.lemonde.fr/files/hopperfenetlanuit1928r.jpg;;2726;64
Manhattan Bridge Loop;Oil on canvas;1928;Addison Gallery of American Art;"88.9 cm × 152.4 cm
(35 in. × 60 in.)";https://en.wikipedia.org/wiki/File:Manhattan-bridge-loop-edward-hopper-1928.jpg;;2726;65
From Williamsburg Bridge;Oil on canvas;1928;Metropolitan Museum of Art;"74.6 cm × 111.1 cm
(29 3/8 in. × 43 3/4 in.)";http://www.metmuseum.org/toah/works-of-art/37.44/;In this painting, Hopper depicts the austere facades of four apartment buildings and reduces the steel suspension of the Williamsburg Bridge to the margins. Completed in 1903 and connecting Brooklyn with Manhattan, the structure is indicated only by the unobtrusive railing rising at a slight diagonal along the bottom of the canvas. As opposed to focusing on the bridge that facilitates movement in and out of the city, Hopper creates an image absent of noise or motion. He emphasizes the alienation and anonymity of urban life by including a single figure: a woman sitting alone in a top story window.;2726;66
Blackwell's Island;Oil on canvas;1928;Crystal Bridges Museum of American Art;"87.6 cm × 151.3 cm
(34.5 in. × 59.5 in.)";https://web.archive.org/web/20131004213528/http://crystalbridges.org/edward-hoppers-blackwells-island-joins-crystal-bridges-collection/;;2726;67
Freight Cars, Gloucester;Oil on canvas;1928;Addison Gallery of American Art;"73.66 cm × 101.92 cm
(29 in. × 40 1/8 in.)";http://accessaddison.andover.edu/Obj4099?sid=148034&x=2207378&port=1000;;2726;68
Chop Suey;Oil on canvas;1929;Barney A. Ebsworth Collection;"81.3 cm × 96.5 cm
(32 in. × 38 in.)";https://en.wikipedia.org/wiki/File:Edward_hopper_chop_suey.jpg;;2726;69
The Lighthouse at Two Lights;Oil on canvas;1929;Metropolitan Museum of Art;"74.9 cm × 109.9 cm
(29.5 in. × 43.25 in.)";http://www.metmuseum.org/toah/works-of-art/62.95/;In this work, Hopper isolates the dramatic silhouette of a lighthouse against an open expanse of blue sky. Set on a rocky promontory in Cape Elizabeth, Maine, the architecture is bathed in bright sunlight offset by dark shadows. Standing proudly upright and seen from below, the lighthouse at Two Lights seems to symbolize a resolute resistance, even refusal, to submit to change or nature. For Hopper, who had been summering in Maine since 1914, the lighthouse also signified a pleasurable reprieve from life in New York.;2726;70
Coast Guard Station;Oil on canvas;1929;Montclair Art Museum;"73.7 cm × 109.2 cm
(29 in. × 43 in.)";https://www.nga.gov/exhibitions/2007/hopper.html;;2726;71
Railroad Sunset;Oil on canvas;1929;Whitney Museum of American Art;"74.5 cm × 122.2 cm
(29 5/16 in. × 48 1/8 in.)";https://whitneymedia.org/assets/artwork/5874/70_1170_cropped.jpeg;;2726;72
Early Sunday Morning;Oil on canvas;1930;Whitney Museum of American Art;"89.4 cm × 153 cm
(35.2 in. × 60.3 in.)";https://en.wikipedia.org/wiki/File:Early-sunday-morning-edward-hopper-1930.jpg;;2726;73
Tables for Ladies;Oil on canvas;1930;Metropolitan Museum of Art;"122.6 cm × 153 cm
(48.25 in. × 60.25 in.)";http://www.metmuseum.org/toah/works-of-art/31.62;"In Hopper’s Tables for Ladies, a waitress leans forward to adjust the vividly painted foods at the window as a couple sits quietly in the richly paneled and well-lit interior. A cashier attentively tends to business at her register. Though they appear weary and detached, these two women hold posts newly available to female city dwellers outside the home. The painting’s title alludes to a recent social innovation in which establishments advertised ""tables for ladies"" in order to welcome their newly mobile female customers, who, if seen dining alone in public previously, were assumed to be prostitutes.";2726;74
Apartment Houses, East River;Oil on canvas;1930;Whitney Museum of American Art;"89.1 cm × 152.7 cm
(35 1/16 in. × 60 1/8 in.)";https://whitneymedia.org/assets/artwork/6084/70_1211_cropped.jpeg;;2726;75
"Corn Hill
(Truro, Cape Cod)";Oil on canvas;1930;"McNay Art Institute,
San Antonio";;http://www.ibiblio.org/wm/paint/auth/hopper/landscapes/hopper.corn-hill.jpg;;2726;76
Hills, South Truro;Oil on canvas;1930;Cleveland Museum of Art;69.5 cm × 109.5 cm;http://www.clevelandart.org/art/2647.1931?collection_search_query=Edward+Hopper&op=search&form_build_id=form-a_8oEkaZtluYCWQNf1Nl4xjjCifhN38O0-NuJmKE5RI&form_id=clevelandart_collection_search_form;;2726;77
House in Provincetown;Watercolor;1930;University of Oklahoma Museum of Art;;http://www.ou.edu/artcollections/collections/american/hopper-house.html;;2726;78
Cobb's Barns, South Truro;Fabricated chalk and wax crayon on paper;1930–1933;Whitney Museum of American Art;"87.2 cm x 127.2 cm
(34.33 in. x 50.08 in.)";https://whitneymedia.org/assets/artwork/6665/70_684_cropped.jpeg;;2726;79
"New York, New Haven
and Hartford";;1931;Indianapolis Museum of Art;;http://www.artrenewal.org/artwork/900/900/16413/new_york,_new_haven_and_hartford-large.jpg;;2726;80
Hotel Room;Oil on canvas;1931;Thyssen-Bornemisza Museum;;http://www.ibiblio.org/wm/paint/auth/hopper/interior/hopper.hotel-room.jpg;;2726;81
Barber Shop;Oil on canvas;1931;Neuberger Museum of Art;60 in. × 78 in.;http://totallyhistory.com/wp-content/uploads/2012/04/The-Barber-Shop-by-hopper-1931.jpg;;2726;82
Roofs of the Cobb Barn;Watercolor on paper;1931;Crystal Bridges Museum of American Art;"50.6 cm x 70.8 cm
(19.94 in. × 27.88 in.)";https://collection.crystalbridges.org/objects/67/roofs-of-the-cobb-barn?ctx=6ba1736e-f946-4679-80cf-c581f79d12f7&idx=2;;2726;83
Dauphinée House;;1932;ACA Galleries;;http://www.museumsyndicate.com/item.php?item=9645;;2726;84
Room in New York;Oil on canvas;1932;"Sheldon Memorial Art Gallery
and Sculpture Garden, Lincoln NE";"73.66 cm × 93.028 cm
(29 in. × 36 5/8 in.)";https://en.wikipedia.org/wiki/File:Room-in-new-york-edward-hopper-1932.jpg;;2726;85
Locust Trees;"Watercolor & graphite
on wove paper";1932;Addison Gallery of American Art;"35.56 cm × 50.8 cm
(14 in. × 20 in.)";http://accessaddison.andover.edu/Obj1638?sid=148034&x=2206084;;2726;86
Ryder’s House;Oil on canvas;1933;Smithsonian American Art Museum;"91.6 cm × 127 cm
(36 1/8 in. × 50 in.)";https://americanart.si.edu/artwork/ryders-house-10763;;2726;87
East Wind Over Weehawken;Oil on canvas;1934;"Pennsylvania Academy of the Fine Arts (1952-2013)
Private collection";;https://en.wikipedia.org/wiki/File:East_Wind_Over_Weehawken,_Edward_Hopper_1934.tiff;;2726;88
House at Dusk;Oil on canvas;1935;Virginia Museum of Fine Arts;;http://people.virginia.edu/~sfr/enam312/gallerys/amart12a.html;;2726;89
Shakespeare at Dusk;Oil on canvas;1935;private collection;;;;2726;90
The Long Leg;;1935;The Huntington Library Collection;;http://www.huntington.org/webassets/templates/general.aspx?id=14408;;2726;91
Macomb's Dam Bridge;;1935;Brooklyn Museum;;https://en.wikipedia.org/wiki/File:Macombs-Dam-Bridge-Edward-Hopper-1935.jpg;;2726;92
The Circle Theater;Oil on canvas;1936;Private collection;;http://www.ibiblio.org/wm/paint/auth/hopper/street/hopper.circle-theatre.jpg;;2726;93
Jo Painting;Oil on canvas;1936;Whitney Museum of American Art;"46.2 cm × 41.1 cm
(18 3/16 in. × 16 3/16 in.)";https://whitneymedia.org/assets/artwork/5905/70_1171_cropped.jpeg;;2726;94
Cape Cod Afternoon;;1936;"Museum of Art,
Carnegie Institute";;http://www.ibiblio.org/wm/paint/auth/hopper/landscapes/hopper.cape-cod-afternoon.jpg;;2726;95
The Sheridan Theater;Oil on canvas;1937;Newark Museum;;http://img222.imageshack.us/img222/8103/hopper2tk0.jpg;;2726;96
White River at Sharon;Watercolor and pencil on paper;1937;Smithsonian American Art Museum;"55.3 cm × 75.6 cm
(21 3/4 in. × 29 3/4 in.)";https://en.wikipedia.org/wiki/File:White-River-at-Sharon-Edward-Hopper-1937.jpg;;2726;97
Mouth of Pamet River—Fall Tide;;1937;Collection of Thelma Z. & Melvin Lenkin;;https://web.archive.org/web/20111004043339/http://lh4.ggpht.com/_-jkHKD3o3yo/RX50LzAWsuI/AAAAAAAAAUE/sERa1NX-4ik/s160/Hopper-MouthOfPametRiver-FullTide-1937-VR.jpg;;2726;98
Compartment C, Car 293;Oil on canvas;1938;IBM Corporation Collection;;http://www.paintinghere.com/UploadPic/Edward%20Hopper/big/Compartment%20C_%20Car%20193.jpg;;2726;99
Cottages at North Truro;Watercolor, pencil on paper;1938;;"50.8 cm x 71.1 cm
(20 in. x 28 in.)";https://en.wikipedia.org/wiki/File:Edward_hopper_cottages_at_north_truro.jpg;;2726;100
Bridle Path;Oil on canvas;1939;;"59.4 cm × 107 cm
(23.375 in. × 42.125 in.)";http://www.paintinghere.com/UploadPic/Edward%20Hopper/big/Bridle%20Path.jpg;;2726;101
New York Movie;Oil on canvas;1939;Museum of Modern Art;;https://en.wikipedia.org/wiki/File:Newyork-movie-edward-hopper-1939.jpg;;2726;102
Cape Cod Evening;Oil on canvas;1939;"National Gallery of Art,
Washington, D.C.";"76.2 cm x 101.6 cm
(30 in. x 40 in.)";https://www.nga.gov/collection/art-object-page.61252.html;;2726;103
Ground Swell;Oil on canvas;1939;National Gallery of Art;"91.92 cm × 127.16 cm
(36 3/16 × 50 1/16 in.)";https://en.wikipedia.org/wiki/File:Ground_swell_2014.79.23.jpg;;2726;104
Gas;Oil on canvas;1940;Museum of Modern Art;"66.7 cm × 102.2 cm
(26 1/4 in. × 40 1/4 in.)";https://en.wikipedia.org/wiki/File:Hopper-Gas-1940.png;;2726;105
Office at Night;Oil on canvas;1940;Walker Art Center (Minneapolis);;https://en.wikipedia.org/wiki/File:Office-at-night-edward-hopper-1940.jpg;;2726;106
The Lee Shore;Oil on canvas;1941;Private collection;;http://www.artchive.com/artchive/h/hopper/lee_shore.jpg;;2726;107
Nighthawks;Oil on canvas;1942;Art Institute of Chicago;"84.1 cm × 152.4 cm
(33 1/8 in. × 60 in.)";https://en.wikipedia.org/wiki/File:Hopper_Nighthawks.jpg;;2726;108
Dawn in Pennsylvania;Oil on canvas;;Terra Foundation for American Art;;https://collection.terraamericanart.org/view/objects/asitem/People$0040243/9?t:state:flow=84107922-99b4-4825-ae82-ac1274dc6305;;2726;109
Hotel Lobby;Oil on canvas;1943;Indianapolis Museum of Art;"81.9 cm × 103.5 cm
(32 1/4 in. × 40 3/4 in.)";https://en.wikipedia.org/wiki/File:Hotel-lobby-edward-hopper-1943.jpg;;2726;110
Summertime;Oil on canvas;1943;Delaware Art Museum;;http://www.cineclubdecaen.com/peinture/peintres/hopper/43ete.htm;;2726;111
Saltillo Mansion;Watercolor on paper;1943;Metropolitan Museum of Art;"54 cm × 68.9 cm
(21 1/4 in. × 27 1/8 in.)";https://en.wikipedia.org/wiki/File:Saltillo-Mansion-Edward-Hopper-1943.jpg;"Hopper and his wife Jo traveled to Mexico in the summer of 1943, seeking a change of scene and new subjects for Hopper's art. After stopping in Mexico City, they traveled 500 miles north to Saltillo, a smaller city whose cool, dry climate and views of nearby mountains made it a popular destination for vacationers. The Hoppers stayed at a hotel called the Guarhado House on Victoria Street, and Hopper painted several watercolors from the hotel roof. From this height, he could see the mountains over the buildings of the city, but his depictions of the scene still suggest the urban development that was blocking his enjoyment of the natural setting. In another work, he showed the colorful towers of Saltillo's eighteenth-century cathedral, a reminder of the city's roots as a Spanish settlement; here, however, he limits his scope to a partial view of some domestic architecture. The houses' simple, blocklike forms, trimmed with lattices and decorative carving, are a dazzling white against the sky and the distant hills. Hopper had initially complained that Saltillo was noisy and congested, but from his rooftop he could project onto this new setting the same stillness and solitude that pervaded his scenes of New York and New England.";2726;112
Solitude;;1944;Private collection;81.3 cm × 127 cm;http://www.masterpiece-paintings-gallery.com/hopper-solitude.htm;;2726;113
Morning in a City;Oil on canvas;1944;Williams College Museum of Art;"112.5 cm × 152 cm
(44 5/16 × 59 13/16 in.)";http://www.cineclubdecaen.com/peinture/peintres/hopper/44matindansunegrandeville.htm;;2726;114
Rooms for Tourists;Oil on canvas;1945;Yale University Art Gallery;;http://www.ibiblio.org/wm/paint/auth/hopper/street/hopper.rooms-tourists.jpg;;2726;115
August in the City;Oil on canvas;1945;"Norton Museum of Art
West Palm Beach";;https://web.archive.org/web/20090326101335/http://www.mbar.org/services/publications/boutique/images/post135.jpg;;2726;116
Jo in Wyoming;Watercolor and graphite pencil on paper;1946;Whitney Museum of American Art;"35.4 cm × 50.6 cm
(13 15/16 × 19 15/16 in.)";https://whitneymedia.org/assets/artwork/6891/70_1159_cropped.jpeg;;2726;117
Approaching a City;Oil on canvas;1946;The Phillips Collection;;http://www.leninimports.com/edward_hopper_shop_approaching_city_postcard_1.jpg;;2726;118
El Palacio;Watercolor and graphite pencil on paper;1946;Whitney Museum of American Art;"57 cm × 77.8 cm
(22 7/16 × 30 5/8 in.)";https://whitneymedia.org/assets/artwork/1410/50_2_cropped.jpeg;;2726;119
Summer Evening;Oil on canvas;1947;Private collection;;http://www.ibiblio.org/wm/paint/auth/hopper/interior/hopper.summer-evening.jpg;;2726;120
Pennsylvania Coal Town;;1947;Butler Institute of American Art;;http://www.ibiblio.org/wm/paint/auth/hopper/street/hopper.penn-coal-town.jpg;;2726;121
